"Year","Name","Code","avg"
1961,"Argentina","ARG",14.3772033333333
1961,"Australia","AUS",21.6391333333333
1961,"Brazil","BRA",25.1989166666667
1961,"Canada","CAN",-7.39057333333333
1961,"China","CHN",6.46959833333333
1961,"France","FRA",11.3828408333333
1961,"Germany","DEU",9.12468416666667
1961,"India","IND",23.7826916666667
1961,"Indonesia","IDN",25.6068666666667
1961,"Italy","ITA",12.3687475
1961,"Japan","JPN",11.1862608333333
1961,"Korea  Republic of","KOR",11.4639566666667
1961,"Mexico","MEX",20.491925
1961,"Russia","RUS",-6.22989583333333
1961,"Saudi Arabia","SAU",24.2360166666667
1961,"South Africa","ZAF",17.5670166666667
1961,"Turkey","TUR",11.3608616666667
1961,"United Kingdom","GBR",8.68055
1961,"United States","USA",6.53754333333333
1962,"Argentina","ARG",14.31774
1962,"Australia","AUS",21.4989416666667
1962,"Brazil","BRA",24.8700916666667
1962,"Canada","CAN",-6.97666666666667
1962,"China","CHN",6.165325
1962,"France","FRA",9.82939
1962,"Germany","DEU",7.37937166666667
1962,"India","IND",23.8567166666667
1962,"Indonesia","IDN",25.574375
1962,"Italy","ITA",11.4191725
1962,"Japan","JPN",10.6196166666667
1962,"Korea  Republic of","KOR",10.7150725
1962,"Mexico","MEX",20.838025
1962,"Russia","RUS",-5.62453833333333
1962,"Saudi Arabia","SAU",25.182675
1962,"South Africa","ZAF",17.7278416666667
1962,"Turkey","TUR",12.3700183333333
1962,"United Kingdom","GBR",7.58406333333333
1962,"United States","USA",6.96818416666667
1963,"Argentina","ARG",14.1862533333333
1963,"Australia","AUS",21.4137833333333
1963,"Brazil","BRA",25.2486833333333
1963,"Canada","CAN",-6.79263166666667
1963,"China","CHN",6.42334583333333
1963,"France","FRA",9.40712583333333
1963,"Germany","DEU",7.317525
1963,"India","IND",24.0064166666667
1963,"Indonesia","IDN",25.6425583333333
1963,"Italy","ITA",11.3980333333333
1963,"Japan","JPN",10.4079791666667
1963,"Korea  Republic of","KOR",10.1568991666667
1963,"Mexico","MEX",20.683475
1963,"Russia","RUS",-6.21510416666667
1963,"Saudi Arabia","SAU",24.997425
1963,"South Africa","ZAF",17.51205
1963,"Turkey","TUR",11.4815083333333
1963,"United Kingdom","GBR",7.43232416666667
1963,"United States","USA",7.10830416666667
1964,"Argentina","ARG",13.8163566666667
1964,"Australia","AUS",21.3149833333333
1964,"Brazil","BRA",24.8484
1964,"Canada","CAN",-7.67968166666667
1964,"China","CHN",6.0577875
1964,"France","FRA",10.5050325
1964,"Germany","DEU",8.31856666666667
1964,"India","IND",24.0125666666667
1964,"Indonesia","IDN",25.6633
1964,"Italy","ITA",11.7742358333333
1964,"Japan","JPN",10.6226108333333
1964,"Korea  Republic of","KOR",11.2102825
1964,"Mexico","MEX",20.3533833333333
1964,"Russia","RUS",-6.97924416666667
1964,"Saudi Arabia","SAU",23.9757166666667
1964,"South Africa","ZAF",17.2978016666667
1964,"Turkey","TUR",10.4692516666667
1964,"United Kingdom","GBR",8.34950416666667
1964,"United States","USA",6.35692333333333
1965,"Argentina","ARG",14.3157308333333
1965,"Australia","AUS",21.78005
1965,"Brazil","BRA",25.04885
1965,"Canada","CAN",-7.59708166666667
1965,"China","CHN",6.11885916666667
1965,"France","FRA",10.0049641666667
1965,"Germany","DEU",7.64351416666667
1965,"India","IND",24.0998166666667
1965,"Indonesia","IDN",25.5460666666667
1965,"Italy","ITA",11.1830558333333
1965,"Japan","JPN",10.0263333333333
1965,"Korea  Republic of","KOR",10.4177416666667
1965,"Mexico","MEX",20.5082416666667
1965,"Russia","RUS",-7.151735
1965,"Saudi Arabia","SAU",24.760675
1965,"South Africa","ZAF",17.4107666666667
1965,"Turkey","TUR",10.8586133333333
1965,"United Kingdom","GBR",7.76432583333333
1965,"United States","USA",6.56200333333333
1966,"Argentina","ARG",14.1212933333333
1966,"Australia","AUS",21.026875
1966,"Brazil","BRA",25.1734083333333
1966,"Canada","CAN",-7.4006825
1966,"China","CHN",6.24338
1966,"France","FRA",10.811285
1966,"Germany","DEU",8.61295416666667
1966,"India","IND",24.3608
1966,"Indonesia","IDN",25.7715916666667
1966,"Italy","ITA",11.8431666666667
1966,"Japan","JPN",10.43631
1966,"Korea  Republic of","KOR",10.7023525
1966,"Mexico","MEX",20.1141833333333
1966,"Russia","RUS",-7.60461666666667
1966,"Saudi Arabia","SAU",25.0977083333333
1966,"South Africa","ZAF",17.7865583333333
1966,"Turkey","TUR",12.5966375
1966,"United Kingdom","GBR",8.24412583333333
1966,"United States","USA",6.3571625
1967,"Argentina","ARG",14.4468358333333
1967,"Australia","AUS",21.352
1967,"Brazil","BRA",25.07975
1967,"Canada","CAN",-7.430855
1967,"China","CHN",5.80440333333333
1967,"France","FRA",10.6990266666667
1967,"Germany","DEU",9.07448
1967,"India","IND",23.9441583333333
1967,"Indonesia","IDN",25.5614833333333
1967,"Italy","ITA",11.8078491666667
1967,"Japan","JPN",10.5681891666667
1967,"Korea  Republic of","KOR",10.68924
1967,"Mexico","MEX",20.4134083333333
1967,"Russia","RUS",-5.44269583333333
1967,"Saudi Arabia","SAU",23.893975
1967,"South Africa","ZAF",17.24308
1967,"Turkey","TUR",10.246745
1967,"United Kingdom","GBR",8.50979333333333
1967,"United States","USA",6.91551333333333
1968,"Argentina","ARG",14.5737866666667
1968,"Australia","AUS",21.1506416666667
1968,"Brazil","BRA",24.712625
1968,"Canada","CAN",-6.86894416666667
1968,"China","CHN",6.09560333333333
1968,"France","FRA",10.3349775
1968,"Germany","DEU",8.35016083333333
1968,"India","IND",23.8308916666667
1968,"Indonesia","IDN",25.6302666666667
1968,"Italy","ITA",11.5879766666667
1968,"Japan","JPN",10.5016091666667
1968,"Korea  Republic of","KOR",10.5876058333333
1968,"Mexico","MEX",20.04985
1968,"Russia","RUS",-6.81587916666667
1968,"Saudi Arabia","SAU",24.4717333333333
1968,"South Africa","ZAF",17.02962
1968,"Turkey","TUR",11.1705241666667
1968,"United Kingdom","GBR",8.19577583333333
1968,"United States","USA",6.5427625
1969,"Argentina","ARG",14.6667666666667
1969,"Australia","AUS",21.5253333333333
1969,"Brazil","BRA",25.33625
1969,"Canada","CAN",-6.58613833333333
1969,"China","CHN",5.73310416666667
1969,"France","FRA",10.2722441666667
1969,"Germany","DEU",7.9409175
1969,"India","IND",24.4180166666667
1969,"Indonesia","IDN",25.8871916666667
1969,"Italy","ITA",11.4425833333333
1969,"Japan","JPN",10.1856216666667
1969,"Korea  Republic of","KOR",10.0397366666667
1969,"Mexico","MEX",20.6918916666667
1969,"Russia","RUS",-7.805495
1969,"Saudi Arabia","SAU",25.0484166666667
1969,"South Africa","ZAF",17.7346416666667
1969,"Turkey","TUR",11.1610541666667
1969,"United Kingdom","GBR",8.1216175
1969,"United States","USA",6.81620583333333
1970,"Argentina","ARG",14.5977966666667
1970,"Australia","AUS",21.4048
1970,"Brazil","BRA",25.1776
1970,"Canada","CAN",-7.20693916666667
1970,"China","CHN",5.92307833333333
1970,"France","FRA",10.3947141666667
1970,"Germany","DEU",7.87502083333333
1970,"India","IND",24.0423166666667
1970,"Indonesia","IDN",25.8280666666667
1970,"Italy","ITA",11.5553941666667
1970,"Japan","JPN",10.276935
1970,"Korea  Republic of","KOR",10.2279266666667
1970,"Mexico","MEX",20.28495
1970,"Russia","RUS",-6.6997675
1970,"Saudi Arabia","SAU",24.7337416666667
1970,"South Africa","ZAF",17.697
1970,"Turkey","TUR",11.8362691666667
1970,"United Kingdom","GBR",8.31972166666667
1970,"United States","USA",6.70676166666667
1971,"Argentina","ARG",14.0196591666667
1971,"Australia","AUS",21.2780916666667
1971,"Brazil","BRA",24.5095583333333
1971,"Canada","CAN",-7.00559083333333
1971,"China","CHN",6.250065
1971,"France","FRA",10.415985
1971,"Germany","DEU",8.65055
1971,"India","IND",23.57085
1971,"Indonesia","IDN",25.581225
1971,"Italy","ITA",11.602545
1971,"Japan","JPN",10.2422575
1971,"Korea  Republic of","KOR",10.4411841666667
1971,"Mexico","MEX",20.4147166666667
1971,"Russia","RUS",-6.1450975
1971,"Saudi Arabia","SAU",24.260375
1971,"South Africa","ZAF",17.304175
1971,"Turkey","TUR",11.0954008333333
1971,"United Kingdom","GBR",8.80879916666667
1971,"United States","USA",6.3155075
1972,"Argentina","ARG",14.1690483333333
1972,"Australia","AUS",21.6940083333333
1972,"Brazil","BRA",25.0332666666667
1972,"Canada","CAN",-8.95106583333333
1972,"China","CHN",6.16902166666667
1972,"France","FRA",10.1143783333333
1972,"Germany","DEU",8.07816583333333
1972,"India","IND",24.1429583333333
1972,"Indonesia","IDN",25.8446416666667
1972,"Italy","ITA",11.5545141666667
1972,"Japan","JPN",10.7972841666667
1972,"Korea  Republic of","KOR",10.6721758333333
1972,"Mexico","MEX",20.7668833333333
1972,"Russia","RUS",-6.87824833333333
1972,"Saudi Arabia","SAU",24.00265
1972,"South Africa","ZAF",17.6705
1972,"Turkey","TUR",10.2696158333333
1972,"United Kingdom","GBR",8.19021
1972,"United States","USA",6.30942833333333
1973,"Argentina","ARG",13.97399
1973,"Australia","AUS",22.004225
1973,"Brazil","BRA",25.0801333333333
1973,"Canada","CAN",-6.34672666666667
1973,"China","CHN",6.548315
1973,"France","FRA",10.40639
1973,"Germany","DEU",8.43656
1973,"India","IND",24.27135
1973,"Indonesia","IDN",26.0349583333333
1973,"Italy","ITA",11.5992308333333
1973,"Japan","JPN",10.6267716666667
1973,"Korea  Republic of","KOR",11.0093966666667
1973,"Mexico","MEX",20.3597
1973,"Russia","RUS",-6.02807666666667
1973,"Saudi Arabia","SAU",24.5220833333333
1973,"South Africa","ZAF",17.6268083333333
1973,"Turkey","TUR",10.7733558333333
1973,"United Kingdom","GBR",8.47541666666667
1973,"United States","USA",6.88752833333333
1974,"Argentina","ARG",13.9984425
1974,"Australia","AUS",20.86585
1974,"Brazil","BRA",24.443175
1974,"Canada","CAN",-7.86100916666667
1974,"China","CHN",6.04081333333333
1974,"France","FRA",10.7112725
1974,"Germany","DEU",8.97661833333333
1974,"India","IND",24.0422666666667
1974,"Indonesia","IDN",25.6424583333333
1974,"Italy","ITA",11.681335
1974,"Japan","JPN",10.0747741666667
1974,"Korea  Republic of","KOR",10.0449433333333
1974,"Mexico","MEX",20.40425
1974,"Russia","RUS",-6.8730375
1974,"Saudi Arabia","SAU",24.3583416666667
1974,"South Africa","ZAF",17.1693916666667
1974,"Turkey","TUR",10.8379516666667
1974,"United Kingdom","GBR",8.45491333333333
1974,"United States","USA",6.71361666666667
1975,"Argentina","ARG",14.2785766666667
1975,"Australia","AUS",21.3097666666667
1975,"Brazil","BRA",24.5067083333333
1975,"Canada","CAN",-7.1391
1975,"China","CHN",6.54688416666667
1975,"France","FRA",10.609715
1975,"Germany","DEU",9.08732916666667
1975,"India","IND",23.73095
1975,"Indonesia","IDN",25.679775
1975,"Italy","ITA",11.7249775
1975,"Japan","JPN",10.674335
1975,"Korea  Republic of","KOR",11.1314691666667
1975,"Mexico","MEX",20.228625
1975,"Russia","RUS",-5.28534666666667
1975,"Saudi Arabia","SAU",24.2677333333333
1975,"South Africa","ZAF",17.1597333333333
1975,"Turkey","TUR",10.8603833333333
1975,"United Kingdom","GBR",8.83904916666667
1975,"United States","USA",6.3023825
1976,"Argentina","ARG",13.732655
1976,"Australia","AUS",20.857125
1976,"Brazil","BRA",24.4767083333333
1976,"Canada","CAN",-6.94147416666667
1976,"China","CHN",5.88244416666667
1976,"France","FRA",10.9587258333333
1976,"Germany","DEU",8.61212916666667
1976,"India","IND",24.0670166666667
1976,"Indonesia","IDN",25.4556166666667
1976,"Italy","ITA",11.413835
1976,"Japan","JPN",10.1023041666667
1976,"Korea  Republic of","KOR",10.2889125
1976,"Mexico","MEX",19.8690333333333
1976,"Russia","RUS",-7.09229833333333
1976,"Saudi Arabia","SAU",24.2894666666667
1976,"South Africa","ZAF",16.9612583333333
1976,"Turkey","TUR",10.2539133333333
1976,"United Kingdom","GBR",8.82000833333333
1976,"United States","USA",6.65006166666667
1977,"Argentina","ARG",14.6406841666667
1977,"Australia","AUS",21.5196333333333
1977,"Brazil","BRA",24.940625
1977,"Canada","CAN",-6.0110025
1977,"China","CHN",6.23264166666667
1977,"France","FRA",10.6183575
1977,"Germany","DEU",8.7816425
1977,"India","IND",24.2052416666667
1977,"Indonesia","IDN",25.6143666666667
1977,"Italy","ITA",11.8393291666667
1977,"Japan","JPN",10.566575
1977,"Korea  Republic of","KOR",10.920295
1977,"Mexico","MEX",20.6346333333333
1977,"Russia","RUS",-6.7659975
1977,"Saudi Arabia","SAU",24.6720666666667
1977,"South Africa","ZAF",17.6714083333333
1977,"Turkey","TUR",11.1425066666667
1977,"United Kingdom","GBR",8.34440416666667
1977,"United States","USA",7.30898333333333
1978,"Argentina","ARG",14.5137808333333
1978,"Australia","AUS",21.253825
1978,"Brazil","BRA",24.7678166666667
1978,"Canada","CAN",-7.41330083333333
1978,"China","CHN",6.48638666666667
1978,"France","FRA",10.1141391666667
1978,"Germany","DEU",7.97724333333333
1978,"India","IND",23.9938166666667
1978,"Indonesia","IDN",25.7382583333333
1978,"Italy","ITA",11.1534558333333
1978,"Japan","JPN",10.8459425
1978,"Korea  Republic of","KOR",11.4286516666667
1978,"Mexico","MEX",20.4434666666667
1978,"Russia","RUS",-6.39408083333333
1978,"Saudi Arabia","SAU",24.7185
1978,"South Africa","ZAF",17.4562916666667
1978,"Turkey","TUR",11.2985466666667
1978,"United Kingdom","GBR",8.28477916666667
1978,"United States","USA",6.92793166666667
1979,"Argentina","ARG",14.348935
1979,"Australia","AUS",21.8737333333333
1979,"Brazil","BRA",24.7644833333333
1979,"Canada","CAN",-7.28122666666667
1979,"China","CHN",6.51429166666667
1979,"France","FRA",10.3432758333333
1979,"Germany","DEU",7.8938125
1979,"India","IND",24.4645
1979,"Indonesia","IDN",25.8519166666667
1979,"Italy","ITA",11.7899258333333
1979,"Japan","JPN",11.16561
1979,"Korea  Republic of","KOR",11.3121983333333
1979,"Mexico","MEX",20.1544916666667
1979,"Russia","RUS",-7.122635
1979,"Saudi Arabia","SAU",25.2112416666667
1979,"South Africa","ZAF",17.8594583333333
1979,"Turkey","TUR",11.8212983333333
1979,"United Kingdom","GBR",7.6682425
1979,"United States","USA",6.68890666666667
1980,"Argentina","ARG",14.6094675
1980,"Australia","AUS",22.2382583333333
1980,"Brazil","BRA",24.9484
1980,"Canada","CAN",-6.49117666666667
1980,"China","CHN",6.39559083333333
1980,"France","FRA",9.93875666666667
1980,"Germany","DEU",7.76640666666667
1980,"India","IND",24.4934666666667
1980,"Indonesia","IDN",25.8575
1980,"Italy","ITA",11.1313816666667
1980,"Japan","JPN",10.1510591666667
1980,"Korea  Republic of","KOR",9.93502833333333
1980,"Mexico","MEX",20.6889333333333
1980,"Russia","RUS",-6.51654416666667
1980,"Saudi Arabia","SAU",24.8836333333333
1980,"South Africa","ZAF",17.6588083333333
1980,"Turkey","TUR",10.9152125
1980,"United Kingdom","GBR",8.33987833333333
1980,"United States","USA",7.15595083333333
1981,"Argentina","ARG",14.5175283333333
1981,"Australia","AUS",21.79315
1981,"Brazil","BRA",24.7294
1981,"Canada","CAN",-4.94725333333333
1981,"China","CHN",6.4282225
1981,"France","FRA",10.6314983333333
1981,"Germany","DEU",8.37575666666667
1981,"India","IND",24.130725
1981,"Indonesia","IDN",25.958475
1981,"Italy","ITA",11.557395
1981,"Japan","JPN",9.98265666666667
1981,"Korea  Republic of","KOR",10.1147925
1981,"Mexico","MEX",20.54005
1981,"Russia","RUS",-5.2101525
1981,"Saudi Arabia","SAU",24.8869
1981,"South Africa","ZAF",17.173475
1981,"Turkey","TUR",11.7174316666667
1981,"United Kingdom","GBR",8.151535
1981,"United States","USA",7.86070166666667
1982,"Argentina","ARG",14.5675883333333
1982,"Australia","AUS",21.5960166666667
1982,"Brazil","BRA",24.8909583333333
1982,"Canada","CAN",-8.0299175
1982,"China","CHN",6.65474333333333
1982,"France","FRA",11.3404958333333
1982,"Germany","DEU",9.15924083333333
1982,"India","IND",24.1238
1982,"Indonesia","IDN",25.866875
1982,"Italy","ITA",12.324615
1982,"Japan","JPN",10.6826591666667
1982,"Korea  Republic of","KOR",11.1225683333333
1982,"Mexico","MEX",20.8115833333333
1982,"Russia","RUS",-6.32984916666667
1982,"Saudi Arabia","SAU",24.0482833333333
1982,"South Africa","ZAF",17.7817333333333
1982,"Turkey","TUR",10.5758691666667
1982,"United Kingdom","GBR",8.64579583333333
1982,"United States","USA",6.47836916666667
1983,"Argentina","ARG",14.2597483333333
1983,"Australia","AUS",21.89025
1983,"Brazil","BRA",25.086
1983,"Canada","CAN",-6.94961
1983,"China","CHN",6.40731
1983,"France","FRA",11.0730983333333
1983,"Germany","DEU",9.301025
1983,"India","IND",23.8698666666667
1983,"Indonesia","IDN",26.1189083333333
1983,"Italy","ITA",11.9584625
1983,"Japan","JPN",10.46942
1983,"Korea  Republic of","KOR",10.9530583333333
1983,"Mexico","MEX",20.535825
1983,"Russia","RUS",-5.13507166666667
1983,"Saudi Arabia","SAU",24.0772083333333
1983,"South Africa","ZAF",18.288675
1983,"Turkey","TUR",10.7431066666667
1983,"United Kingdom","GBR",8.77098666666667
1983,"United States","USA",6.97106166666667
1984,"Argentina","ARG",13.6799775
1984,"Australia","AUS",21.140975
1984,"Brazil","BRA",24.8807083333333
1984,"Canada","CAN",-6.83742916666667
1984,"China","CHN",5.9797725
1984,"France","FRA",10.4056133333333
1984,"Germany","DEU",8.23495416666667
1984,"India","IND",24.0695583333333
1984,"Indonesia","IDN",25.5520833333333
1984,"Italy","ITA",11.3769625
1984,"Japan","JPN",10.0341183333333
1984,"Korea  Republic of","KOR",10.3957508333333
1984,"Mexico","MEX",20.404925
1984,"Russia","RUS",-6.37177333333333
1984,"Saudi Arabia","SAU",24.5471583333333
1984,"South Africa","ZAF",18.12065
1984,"Turkey","TUR",11.0341883333333
1984,"United Kingdom","GBR",8.59756166666667
1984,"United States","USA",6.77008
1985,"Argentina","ARG",14.63711
1985,"Australia","AUS",21.6973416666667
1985,"Brazil","BRA",24.828325
1985,"Canada","CAN",-6.94425
1985,"China","CHN",6.1997425
1985,"France","FRA",10.0502883333333
1985,"Germany","DEU",7.70891083333333
1985,"India","IND",24.3705416666667
1985,"Indonesia","IDN",25.8133583333333
1985,"Italy","ITA",11.8239375
1985,"Japan","JPN",10.6365125
1985,"Korea  Republic of","KOR",10.7355358333333
1985,"Mexico","MEX",20.4496166666667
1985,"Russia","RUS",-6.65309583333333
1985,"Saudi Arabia","SAU",24.8809583333333
1985,"South Africa","ZAF",18.2006916666667
1985,"Turkey","TUR",10.9935125
1985,"United Kingdom","GBR",7.77746083333333
1985,"United States","USA",6.57842083333333
1986,"Argentina","ARG",14.6200775
1986,"Australia","AUS",21.6832
1986,"Brazil","BRA",24.99325
1986,"Canada","CAN",-7.0463625
1986,"China","CHN",6.32847
1986,"France","FRA",10.3181733333333
1986,"Germany","DEU",8.16343833333333
1986,"India","IND",24.1485833333333
1986,"Indonesia","IDN",25.9247833333333
1986,"Italy","ITA",11.9952991666667
1986,"Japan","JPN",10.0233241666667
1986,"Korea  Republic of","KOR",10.17295
1986,"Mexico","MEX",20.7177666666667
1986,"Russia","RUS",-6.00911166666667
1986,"Saudi Arabia","SAU",24.7004
1986,"South Africa","ZAF",18.14635
1986,"Turkey","TUR",11.3798841666667
1986,"United Kingdom","GBR",7.62916583333333
1986,"United States","USA",7.54175666666667
1987,"Argentina","ARG",14.515285
1987,"Australia","AUS",21.7106083333333
1987,"Brazil","BRA",25.3850833333333
1987,"Canada","CAN",-5.6790075
1987,"China","CHN",6.63087
1987,"France","FRA",10.305305
1987,"Germany","DEU",7.68622666666667
1987,"India","IND",24.646075
1987,"Indonesia","IDN",26.1960333333333
1987,"Italy","ITA",11.9401133333333
1987,"Japan","JPN",10.8768
1987,"Korea  Republic of","KOR",10.9629675
1987,"Mexico","MEX",20.3128166666667
1987,"Russia","RUS",-7.42573916666667
1987,"Saudi Arabia","SAU",25.1866083333333
1987,"South Africa","ZAF",18.2301166666667
1987,"Turkey","TUR",10.8044841666667
1987,"United Kingdom","GBR",7.98753916666667
1987,"United States","USA",7.71805833333333
1988,"Argentina","ARG",14.1327658333333
1988,"Australia","AUS",22.21635
1988,"Brazil","BRA",25.109075
1988,"Canada","CAN",-6.12195916666667
1988,"China","CHN",6.7425725
1988,"France","FRA",11.1832383333333
1988,"Germany","DEU",9.27841
1988,"India","IND",24.6460166666667
1988,"Indonesia","IDN",26.0806
1988,"Italy","ITA",12.3388633333333
1988,"Japan","JPN",10.3173033333333
1988,"Korea  Republic of","KOR",10.8201141666667
1988,"Mexico","MEX",20.4978583333333
1988,"Russia","RUS",-5.43817083333333
1988,"Saudi Arabia","SAU",24.9926
1988,"South Africa","ZAF",17.7188
1988,"Turkey","TUR",10.6917808333333
1988,"United Kingdom","GBR",8.73470833333333
1988,"United States","USA",7.33440833333333
